//ID#Nome_do_Sprite#							Nome da Ilustracao (kRO)		Nome da Carta (bRO)
4001#Poring_Card#						//		Æ÷¸µÄ«µå					|		Carta Poring
4077#Phen_Card#							//		ÈÓÄ«µå						|		Carta Fen
4078#Savage_Card#						//		»õºñÁöÄ«µå					|		Carta Selvagem
4079#Mantis_Card#						//		¸ÇÆ¼½ºÄ«µå					|		Carta Louva-a-Deus
4080#Flora_Card#						//		ÇÃ·Î¶óÄ«µå					|		Carta Flora
4081#Hode_Card#							//		È£µåÄ«µå					|		Carta Hode
4082#Desert_Wolf_Card#					//		µ¥ÀúÆ®¿ïÇÁÄ«µå				|		Carta Lobo do Deserto
4083#Rafflesia_Card#					//		¶óÇÃ·¹½Ã¾ÆÄ«µå				|		Carta Rafflesia
4084#Marine_Sphere_Card#				//		¸¶¸°½ºÇÇ¾îÄ«µå				|		Carta Esfera Marinha
4085#Orc_Skeleton_Card#					//		¿ÀÅ©½ºÄÌÄ«µå					|		Carta Orc Esqueleto
4086#Soldier_Skeleton_Card#				//		¼ÖÁ®½ºÄÌÅæÄ«µå				|		Carta Esqueleto Soldado
4087#Giearth_Card#						//		°¡ÀÌ¾Æ½ºÄ«µå					|		Carta Giearth
4088#Frilldora_Card#					//		ÇÁ¸±µµ¶óÄ«µå					|		Carta Frilldora
4089#Sword_Fish_Card#					//		¼ÒµåÇÇ½¬Ä«µå					|		Carta Peixe-Espada
4090#Munak_Card#						//		¹«³«Ä«µå					|		Carta Munak
4091#Kobold_Card#						//		ÄÚº¼Æ®Ä«µå					|		Carta Cobold
4092#Skel_Worker_Card#					//		½ºÄÌ¿öÄ¿Ä«µå					|		Carta Esqueleto Operario
4093#Obeaune_Card#						//		¿Àº»´ÀÄ«µå					|		Carta Obeaune
4094#Archer_Skeleton_Card#				//		¾ÆÃÄ½ºÄÌÅæÄ«µå				|		Carta Esqueleto Arqueiro
4095#Marse_Card#						//		¸¶¸£½ºÄ«µå					|		Carta Marte
4096#Zenorc_Card#						//		Á¦³ëÅ©Ä«µå					|		Carta Zenorc
4097#Matyr_Card#						//		¸¶Å¸Ä«µå					|		Carta Matyr
4098#Dokebi_Card#						//		µµ±úºñÄ«µå					|		Carta Dokebi
4099#Pasana_Card#						//		ÆÄ»ç³ªÄ«µå					|		Carta Pasana
4100#Sohee_Card#						//		¼ÒÈñÄ«µå					|		Carta Sohee
4101#Sand_Man_Card#						//		»÷µå¸ÇÄ«µå					|		Carta Arenoso
4102#Whisper_Card#						//		À§½ºÆÛÄ«µå					|		Carta Sussurro
4103#Horong_Card#						//		È£·ÕÄ«µå					|		Carta Horong
4104#Requiem_Card#						//		·¹Äû¿¥Ä«µå					|		Carta Requiem
4105#Marc_Card#							//		¸¶¸£Å©Ä«µå					|		Carta Cavalo-Marinho
4106#Mummy_Card#						//		¹ÌÀÌ¶óÄ«µå					|		Carta Mumia
4107#Verit_Card#						//		º£¸´Æ®Ä«µå					|		Carta Verit
4108#Myst_Card#							//		¹Ì½ºÆ®Ä«µå					|		Carta Nevoa
4109#Jakk_Card#							//		ÀèÄ«µå						|		Carta Jakk
4110#Ghoul_Card#						//		±¸¿ïÄ«µå					|		Carta Carnical
4111#Strouf_Card#						//		½ºÆ®¶ó¿ìÇÁÄ«µå				|		Carta Strouf
4112#Marduk_Card#						//		¸¶¸£µÎÅ©Ä«µå					|		Carta Marduk
4113#Marionette_Card#					//		¸¶¸®¿À³×Æ®Ä«µå				|		Carta Marionete
4114#Argiope_Card#						//		¾Æ¸£Áö¿ÀÇÁÄ«µå				|		Carta Argiope
4115#Hunter_Fly_Card#					//		ÇåÅÍÇÃ¶óÀÌÄ«µå				|		Carta Mosca Cacadora
4116#Isis_Card#							//		ÀÌ½Ã½ºÄ«µå					|		Carta Isis
4117#Side_Winder_Card#					//		½ÖµÎ¹ìÄ«µå					|		Carta Sorrateiro
4118#Petit_Card#						//		Áö»ó»Ú¶ìÄ«µå					|		Carta Petite
4119#Bathory_Card#						//		¹Ù¼Ò¸®Ä«µå					|		Carta Bathory
4120#Petit__Card#						//		°øÁß»Ú¶ìÄ«µå					|		Carta Petite Voador
4121#Phreeoni_Card#						//		ÇÁ¸®¿À´ÏÄ«µå					|		Carta Freeoni
4122#Deviruchi_Card#					//		µ¥ºñ·çÄ¡Ä«µå					|		Carta Deviruchi
4123#Eddga_Card#						//		¿¡µå°¡Ä«µå					|		Carta Eddga
4124#Medusa_Card#						//		¸ÞµÎ»çÄ«µå					|		Carta Medusa
4125#Deviace_Card#						//		µ¥ºñ¾î½ºÄ«µå					|		Carta Deviace
4126#Minorous_Card#						//		È²¼ÒÄ«µå					|		Carta Minorous
4127#Nightmare_Card#					//		³ªÀÌÆ®¸Þ¾îÄ«µå				|		Carta Pesadelo
4128#Golden_Bug_Card#					//		±ÝµµµÏ¹ú·¹Ä«µå				|		Carta Besouro-Ladrao Dourado
4129#Baphomet__Card#					//		¹ÙÆ÷ÁÖ´Ï¾îÄ«µå				|		Carta Bafome Jr.
4130#Scorpion_King_Card#				//		½ºÄÝÇÇ¾ðÅ·Ä«µå				|		Carta Rei Escorpiao
4131#Moonlight_Flower_Card#				//		¿ù¾ßÈ­Ä«µå					|		Carta Flor do Luar
4132#Mistress_Card#						//		¹Ì½ºÆ®·¹½ºÄ«µå				|		Carta Abelha-Rainha
4133#Daydric_Card#						//		·¹ÀÌµå¸¯Ä«µå					|		Carta Raydric
4134#Dracula_Card#						//		µå¶óÅ¥¶óÄ«µå					|		Carta Dracula
4135#Orc_Load_Card#						//		¿ÀÅ©·ÎµåÄ«µå					|		Carta Senhor dos Orcs
4136#Khalitzburg_Card#					//		½ºÄÌ³ªÀÌÆ®Ä«µå				|		Carta Khalitzburg
4137#Drake_Card#						//		µå·¹ÀÌÅ©Ä«µå					|		Carta Drake
4138#Anubis_Card#						//		¾Æ´©ºñ½ºÄ«µå					|		Carta Anubis
4139#Joker_Card#						//		Á¶Ä¿Ä«µå					|		Carta Coringa
4140#Knight_Of_Abyss_Card#				//		Ä®¸®Ã÷¹ö±×Ä«µå				|		Carta Cavaleiro do Abismo
4141#Evil_Druid_Card#					//		µå·çÀÌµåÄ«µå					|		Carta Druida Maligno
4142#Doppelganger_Card#					//		µµÇÃ°»¾îÄ«µå					|		Carta Doppelganger
4143#Orc_Hero_Card#						//		¿ÀÅ©È÷¾î·ÎÄ«µå				|		Carta Orc Heroi
4144#Osiris_Card#						//		¿À½Ã¸®½ºÄ«µå					|		Carta Osiris
4145#Berzebub_Card#						//		º£¸£Á¦ºêºêÄ«µå				|		Carta Belzebu
4146#Maya_Card#							//		¸¶¾ßÄ«µå					|		Carta Maya
4147#Baphomet_Card#						//		¹ÙÆ÷¸ÞÆ®Ä«µå					|		Carta Bafome
4148#Pharaoh_Card#						//		ÆÄ¶ó¿ÀÄ«µå					|		Carta Farao
4149#Gargoyle_Card#						//		°¡°íÀÏÄ«µå					|		Carta Gargula
4150#Goat_Card#							//		°í¿ìÆ®Ä«µå					|		Carta Bode
4151#Gajomart_Card#						//		°¡Á¶¸¶¸£Æ®Ä«µå				|		Carta Gajomart
4152#Galapago_Card#						//		°¥¶óÆÄ°íÄ«µå					|		Carta Pingu
4153#Crab_Card#							//		°ÔÄ«µå						|		Carta Caranguejo
4154#Rice_Cake_Boy_Card#				//		°æ´Üµ¿ÀÚÄ«µå					|		Carta Pirralho
4155#Goblin_Leader_Card#				//		°íºí¸°¸®´õÄ«µå				|		Carta Lider Goblin
4156#Steam_Goblin_Card#					//		°íºí¸°½ºÆÀ¶óÀÌ´õÄ«µå				|		Carta Goblin a Vapor
4157#Goblin_Archer_Card#				//		°íºí¸°¾ÆÃÄÄ«µå				|		Carta Goblin Arqueiro
4158#Flying_Deleter_Card#				//		°øÁßµô¸®ÅÍÄ«µå				|		Carta Exterminador Voador
4159#Nine_Tail_Card#					//		±¸¹ÌÈ£Ä«µå					|		Carta Nove Caudas
4160#Antique_Firelock_Card#				//		±¸½ÄÁ¶ÃÑº´Ä«µå				|		Carta Soldado Atirador
4161#Grand_Peco_Card#					//		±×·£µåÆäÄÚÄ«µå				|		Carta Grand Peco
4162#Grizzly_Card#						//		±×¸®Áñ¸®Ä«µå					|		Carta Grizzly
4163#Gryphon_Card#						//		±×¸®ÆùÄ«µå					|		Carta Grifo
4164#Gullinbursti_Card#					//		±Û¸°ºÎ¸£½ºÆ¼Ä«µå				|		Carta Gullinbursti
4165#Gig_Card#							//		±â±×Ä«µå					|		Carta Ferrao
4166#Nightmare_Terror_Card#				//		³ªÀÌÆ®¸Þ¾îÅ×·¯Ä«µå				|		Carta Pesadelo Sombrio
4167#Neraid_Card#						//		³×·¹ÀÌµåÄ«µå					|		Carta Nereida
4168#Dark_Lord_Card#					//		´ÙÅ©·ÎµåÄ«µå					|		Carta Senhor das Trevas
4169#Dark_Illusion_Card#				//		´ÙÅ©ÀÏ·çÁ¯Ä«µå				|		Carta Ilusao das Trevas
4170#Dark_Frame_Card#					//		´ÙÅ©ÇÁ·¹ÀÓÄ«µå				|		Carta Moldura Maldita
4171#Dark_Priest_Card#					//		´ÙÅ©ÇÁ¸®½ºÆ®Ä«µå				|		Carta Sacerdote Maldito
4172#The_Paper_Card#					//		´õÆäÀÌÆÛÄ«µå					|		Carta Papel
4173#Demon_Pungus_Card#					//		µ¥¸óÆã°Å½ºÄ«µå				|		Carta Pungus
4174#Deviling_Card#						//		µ¥ºô¸µÄ«µå					|		Carta Deviling
4175#Poison_Toad_Card#					//		µ¶µÎ²¨ºñÄ«µå					|		Carta Sapo Venenoso
4176#Dullahan_Card#						//		µâ¶óÇÑÄ«µå					|		Carta Dullahan
4177#Dryad_Card#						//		µå¶óÀÌ¾îµåÄ«µå				|		Carta Driade
4178#Dragon_Tail_Card#					//		µå·¡°ïÅ×ÀÏÄ«µå				|		Carta Lavadeira
4179#Dragon_Fly_Card#					//		µå·¡°ïÇÃ¶óÀÌÄ«µå				|		Carta Libelula
4180#Driller_Card#						//		µå¸±·¯Ä«µå					|		Carta Furador
4181#Disguise_Card#						//		µð½º°¡ÀÌÁîÄ«µå				|		Carta Mascarado
4182#Diabolic_Card#						//		µð¾Æº¼¸¯Ä«µå					|		Carta Diabolico
4183#Vagabond_Wolf_Card#				//		¶°µ¹ÀÌ´Á´ëÄ«µå				|		Carta Lobo Errante
4184#Lava_Golem_Card#					//		¶ó¹Ù°ñ·½Ä«µå					|		Carta Golem de Lava
4185#Rideword_Card#						//		¶óÀÌµå¿öµåÄ«µå				|		Carta Rideword
4186#Raggler_Card#						//		·¹±Û·¯Ä«µå					|		Carta Raggler
4187#Raydric_Archer_Card#				//		·¹ÀÌµå¸¯¾ÆÃÄÄ«µå				|		Carta Raydric Arqueiro
4188#Leib_Olmai_Card#					//		·¹ÀÌºê¿Ã¸¶ÀÌÄ«µå				|		Carta Leib Olmai
4189#Wraith_Dead_Card#					//		·¹ÀÌ½ºµ¥µåÄ«µå				|		Carta Aparicao
4190#Wraith_Card#						//		·¹ÀÌ¾²Ä«µå					|		Carta Alma Penada
4191#Loli_Ruri_Card#					//		·Î¸®·ç¸®Ä«µå					|		Carta Loli Ruri
4192#Rotar_Zairo_Card#					//		·ÎÅÍÀÚÀÌ·ÎÄ«µå				|		Carta Giro-Goblin
4193#Lude_Card#							//		·çµåÄ«µå					|		Carta Lude
4194#Rybio_Card#						//		¸®ºñ¿ÀÄ«µå					|		Carta Rybio
4195#Leaf_Cat_Card#						//		¸®ÇÁÄ¹Ä«µå					|		Carta Gato de Folha
4196#Marin_Card#						//		¸¶¸°Ä«µå					|		Carta Marin
4197#Mastering_Card#					//		¸¶½ºÅÍ¸µÄ«µå					|		Carta Mastering
4198#Maya_Puple_Card#					//		¸¶¾ßÆÛÇÃÄ«µå					|		Carta Maya Macho
4199#Merman_Card#						//		¸Ó¸ÇÄ«µå					|		Carta Tritao
4200#Megalith_Card#						//		¸Þ°¥¸®½ºÄ«µå					|		Carta Megalith
4201#Majoruros_Card#					//		¸ÞÀÌÀú¿ì·Î½ºÄ«µå				|		Carta Majoruros
4202#Civil_Servant_Card#				//		¹¦±«Ä«µå					|		Carta Mao Guai
4203#Mutant_Dragon_Card#				//		¹ÂÅÏÆ®µå·¡°í³ëÀÌµåÄ«µå			|		Carta Dragao Mutante
4204#Mini_Demon_Card#					//		¹Ì´Ïµ¥¸óÄ«µå					|		Carta Diabinho
4205#Mimic_Card#						//		¹Ì¹ÍÄ«µå					|		Carta Mimico
4206#Mystcase_Card#						//		¹Ì½ºÆ®ÄÉÀÌ½ºÄ«µå				|		Carta Presente
4207#Mysteltainn_Card#					//		¹Ì½ºÆ¿Å×ÀÎÄ«µå				|		Carta Mysteltainn
4208#Miyabi_Ningyo_Card#				//		¹Ì¾ßºñÀÎÇüÄ«µå				|		Carta Boneco de Miyabi
4209#Violy_Card#						//		¹ÙÀÌ¿Ã¸®Ä«µå					|		Carta Violinista
4210#Wander_Man_Card#					//		¹èÈ¸ÇÏ´ÂÀÚÄ«µå				|		Carta Andarilho
4211#Vocal_Card#						//		º¸ÄÃÄ«µå					|		Carta Vocal
4212#Bon_Gun_Card#						//		º»°ÇÄ«µå					|		Carta Bongun
4213#Brilight_Card#						//		ºê¸±¶óÀÌÆ®Ä«µå				|		Carta Escaravelho
4214#Bloody_Murderer_Card#				//		ºí·¯µð¸Ó´õ·¯Ä«µå				|		Carta Serial Killer
4215#Blazzer_Card#						//		ºí·¹ÀÌÀúÄ«µå					|		Carta Labareda
4216#Sasquatch_Card#					//		»ç½ºÄâÄ¡Ä«µå					|		Carta Sasquatch
4217#Live_Peach_Tree_Card#				//		»ýµµ¸ñÄ«µå					|		Carta Pessegueira Encantada
4218#Succubus_Card#						//		¼­Å¥¹ö½ºÄ«µå					|		Carta Succubus
4219#Sageworm_Card#						//		¼¼ÀÌÁö¿úÄ«µå					|		Carta Verme Sabio
4220#Solider_Card#						//		¼Ö¸®´õÄ«µå					|		Carta Soldado
4221#Skeleton_General_Card#				//		½ºÄÌ·¹ÅæÁ¦³×·²Ä«µå				|		Carta Esqueleto General
4222#Skel_Prisoner_Card#				//		½ºÄÌÇÁ¸®Áî³ÊÄ«µå				|		Carta Esqueleto Prisioneiro
4223#Stalactic_Golem_Card#				//		½ºÅÍ·¢Æ½°í·½Ä«µå				|		Carta Golem Estalactitico
4224#Stem_Worm_Card#					//		½ºÅÛ¿úÄ«µå					|		Carta Talo de Verme
4225#Stone_Shooter_Card#				//		½ºÅæ½´ÅÍÄ«µå					|		Carta Atirador de Pedras
4226#Sting_Card#						//		½ºÆÃÄ«µå					|		Carta Sting
4227#Spring_Rabbit_Card#				//		½ºÇÁ¸µ·¡ºøÄ«µå				|		Carta Coelho
4228#Sleeper_Card#						//		½½¸®ÆÛÄ«µå					|		Carta Rochoso
4229#C_Tower_Manager_Card#				//		½Ã°èÅ¾°ü¸®ÀÚÄ«µå				|		Carta Gerente
4230#Shinobi_Card#						//		½Ã³ëºñÄ«µå					|		Carta Shinobi
4231#Increase_Soil_Card#				//		½Ä¾çÄ«µå					|		Carta Mi Gao
4232#Wild_Ginseng_Card#					//		½Å¼±ÃÊÄ«µå					|		Carta Ermitao Selvagem
4233#Baby_Leopard_Card#					//		¾Æ±âÇ¥¹üÄ«µå					|		Carta Leopardo Filhote
4234#Anolian_Card#						//		¾Æ³î¸®¾ÈÄ«µå					|		Carta Anolian
4235#Cookie_XMAS_Card#					//		XMASÄíÅ°Ä«µå				|		Carta Cookie Natalino
4236#Amon_Ra_Card#						//		¾Æ¸ó¶óÄ«µå					|		Carta Amon-Ra
4237#Owl_Duke_Card#						//		¾Æ¿ïµàÅ©Ä«µå					|		Carta Duque Coruja
4238#Owl_Baron_Card#					//		¾Æ¿ï¹Ù·ÐÄ«µå					|		Carta Barao Coruja
4239#Iron_Fist_Card#					//		¾ÆÀÌ¾ðÇÇ½ºÆ®Ä«µå				|		Carta Mao de Ferro
4240#Arclouse_Card#						//		¾ÆÅ©¶ó¿ì½ºÄ«µå				|		Carta Arclouse
4241#Archangeling_Card#					//		¾ÆÅ©¿£Á©¸µÄ«µå				|		Carta ArchAngeling
4242#Apocalips_Card#					//		¾ÆÆ÷Ä®¸³½ºÄ«µå				|		Carta Apocalipse
4243#Antonio_Card#						//		¾ÈÅä´Ï¿ÀÄ«µå					|		Carta Antonio
4244#Alarm_Card#						//		¾Ë¶÷Ä«µå					|		Carta Alarme
4245#Am_Mut_Card#						//		¾Ï¹«Æ®Ä«µå					|		Carta Am Mut
4246#Assulter_Card#						//		¾îÀýÅÍÄ«µå					|		Carta Agressor
4247#Aster_Card#						//		¿¡½ºÅÍÄ«µå					|		Carta Estrela-do-Mar
4248#Ancient_Mummy_Card#				//		¿¡ÀÎ¼ÇÆ®¹ÌÀÌ¶óÄ«µå				|		Carta Mumia Ancia
4249#Ancient_Worm_Card#					//		¿¡ÀÎ¼ÇÆ®¿úÄ«µå				|		Carta Verme Anciao
4250#Executioner_Card#					//		¿¢¼­Å¥¼­³ÊÄ«µå				|		Carta Executor
4251#Elder_Card#						//		¿¤´õÄ«µå					|		Carta Anciao
4252#Alligator_Card#					//		¿¤¸®°ÔÀÌÅÍÄ«µå				|		Carta Crocodilo
4253#Alice_Card#						//		¿¤¸®½ºÄ«µå					|		Carta Alice
4254#Tirfing_Card#						//		¿À¿ì°ÅÅõ½ºÄ«µå				|		Carta Tirfing
4255#Orc_Lady_Card#						//		¿ÀÅ©·¹ÀÌµðÄ«µå				|		Carta Senhora Orc
4256#Orc_Archer_Card#					//		¿ÀÅ©¾ÆÃÄÄ«µå					|		Carta Orc Arqueiro
4257#Wild_Rose_Card#					//		¿ÍÀÏµå·ÎÁîÄ«µå				|		Carta Rosa Selvagem
4258#Wicked_Nymph_Card#					//		¿ä¼±³àÄ«µå					|		Carta Ninfa Perversa
4259#Wooden_Golem_Card#					//		¿ìµç°ñ·½Ä«µå					|		Carta Golem de Madeira
4260#Wootan_Shooter_Card#				//		¿ìÅº½´ÅÍÄ«µå					|		Carta Artilheiro Wootan
4261#Wootan_Fighter_Card#				//		¿ìÅºÆÄÀÌÅÍÄ«µå				|		Carta Guerreiro Wootan
4262#Evil_Cloud_Hermit_Card#			//		¿î¾Ç¼±Ä«µå					|		Carta Ermitao Maligno
4263#Incant_Samurai_Card#				//		¿ø·É¹«»çÄ«µå					|		Carta Samurai Encarnado
4264#Wind_Ghost_Card#					//		À©µå°í½ºÆ®Ä«µå				|		Carta Xama do Vento
4265#Li_Me_Mang_Ryang_Card#				//		ÀÌ¸Å¸Á·®Ä«µå					|		Carta Jing Guai
4266#Eclipse_Card#						//		ÀÌÅ¬¸³½ºÄ«µå					|		Carta Eclipse
4267#Explosion_Card#					//		ÀÍ½ºÇÃ·ÎÁ¯Ä«µå				|		Carta Estrondo
4268#Injustice_Card#					//		ÀÎÀú½ºÆ¼½ºÄ«µå				|		Carta Injusticado
4269#Incubus_Card#						//		ÀÎÅ¥¹ö½ºÄ«µå					|		Carta Inccubus
4270#Giant_Spider_Card#					//		ÀÚÀÌ¾ðÆ®½ºÆÄÀÌ´õÄ«µå				|		Carta Aranha Gigante
4271#Giant_Honet_Card#					//		ÀÚÀÌ¾ðÆ®È£³ÝÄ«µå				|		Carta Zangao Gigante
4272#Dancing_Dragon_Card#				//		ÀúÆÄ·æÄ«µå					|		Carta Zhu Po Long
4273#Shellfish_Card#					//		Á¶°³Ä«µå					|		Carta Molusco
4274#Zombie_Master_Card#				//		Á»ºñ¸¶½ºÅÍÄ«µå				|		Carta Zumbi Mestre
4275#Zombie_Prisoner_Card#				//		Á»ºñÇÁ¸®Áî³ÊÄ«µå				|		Carta Zumbi Prisioneiro
4276#Lord_Of_Death_Card#				//		Á×ÀºÀÚÀÇÁÖÀÎÄ«µå				|		Carta Senhor dos Mortos
4277#Zherlthsh_Card#					//		Áö¸£Å¸½ºÄ«µå					|		Carta Jirtas
4278#Gibbet_Card#						//		ÁöºªÆ®Ä«µå					|		Carta Arvore Maldita
4279#Deleter_Card#						//		Áö»óµô¸®ÅÍÄ«µå				|		Carta Exterminador Terrestre
4280#Geographer_Card#					//		Áö¿À±×·¡ÆÛÄ«µå				|		Carta Planta Carnivora
4281#Zipper_Bear_Card#					//		ÁöÆÛº£¾îÄ«µå					|		Carta Zipper
4282#Tengu_Card#						//		Ãµ±¸Ä«µå					|		Carta Tengu
4283#Greatest_General_Card#				//		ÃµÇÏ´ëÀå±ºÄ«µå				|		Carta Guardiao da Floresta
4284#Chepet_Card#						//		Ã¼ÆêÆ®Ä«µå					|		Carta Chepet
4285#Choco_Card#						//		ÃÝÄÚÄ«µå					|		Carta Choco
